Horodateur,Quel est votre rôle professionnel actuel dans le secteur de la santé ?,Combien d'années d'expérience avez-vous dans ce domaine ?,Avez-vous déjà utilisé ou été exposé à l'IA ou à l'apprentissage automatique dans votre pratique professionnelle ?,"À votre avis, la qualité des données utilisées dans les outils d'IA et d'apprentissage automatique est-elle généralement fiable ?",Avez-vous des préoccupations concernant le biais potentiel dans les outils d'IA et d'apprentissage automatique que vous avez utilisés ou observés ?,"Selon vous, les outils d'IA et d'apprentissage automatique que vous avez utilisés sont-ils suffisamment transparents sur la façon dont ils prennent des décisions ?",Faites-vous confiance aux outils d'IA et d'apprentissage automatique pour aider à la prise de décisions en matière de santé ? ,"Selon vous, la collaboration entre les professionnels de la santé, les informaticiens et d'autres parties prenantes est-elle essentielle à l'intégration réussie de l'IA et de l'apprentissage automatique dans la prise de décisions en matière de santé ?",Avez-vous des exemples d'expériences positives ou négatives de collaboration interdisciplinaire dans l'adoption de l'IA et de l'apprentissage automatique ?,Avez-vous reçu une formation spécifique sur l'utilisation de l'IA et de l'apprentissage automatique dans votre pratique ?,"Selon vous, une formation adéquate sur l'IA et l'apprentissage automatique est-elle un facteur important pour leur adoption réussie dans la prise de décisions en matière de santé ?"
08/06/2023 12:15:29,Dentiste,1 à 3 ans,Non,3,Oui,3,4,1,,Non,Oui
08/06/2023 13:36:25,marketing,7 à 10 ans,Oui,3,Oui,3,2,4,pas de visibilité sur le suivi réel de l'apprentissage. Gestion de l'IA non encore maitrisé par tous,Non,Oui
08/06/2023 13:40:57,Etudiant en pharmacie,1 à 3 ans,Non,3,Non,4,4,5,,Non,Oui
08/06/2023 13:49:11,Pharmacien marketing ,Moins d'un an,Non,3,Oui,2,3,5,,Non,Oui
08/06/2023 14:38:19,Marketing,7 à 10 ans,Oui,4,Oui,1,3,5,,Préfère ne pas répondre,Oui
08/06/2023 14:48:56,Chef de produit oncologie,1 à 3 ans,Non,3,Oui,3,3,3,,Non,Non
08/06/2023 15:27:13,Médecin produit ,1 à 3 ans,Oui,5,Préfère ne pas répondre,2,3,3,"Rapidité d’exécution, pratique et non onéreux ",Non,Oui
08/06/2023 16:56:08,Pharmacien,1 à 3 ans,Non,4,Non,3,3,5,,Non,Oui
08/06/2023 17:15:06,Chef de pole marketing,7 à 10 ans,Oui,4,Oui,2,5,5,intégration de l'IA dans la lecture de lame anapath,Oui,Oui
08/06/2023 20:21:47,Consultant en stratégie ,Moins d'un an,Oui,3,Oui,4,5,4,,Non,Oui
08/06/2023 22:37:37,Consulting ,Moins d'un an,Oui,4,Oui,2,4,4,,Non,Oui
09/06/2023 11:59:25,Dentiste,Moins d'un an,Non,4,Non,2,3,4,,Non,Oui
09/06/2023 13:24:53,Pharmacien ,1 à 3 ans,Oui,4,Oui,3,4,5,Non,Oui,Oui
09/06/2023 15:00:10,Interne pharmacie ,1 à 3 ans,Non,3,Oui,2,2,4,,Non,Oui
12/06/2023 12:04:26,Médecin,Moins d'un an,Non,4,Oui,3,4,4,,Non,Oui
12/06/2023 12:37:04,Chirurgien dentiste ,1 à 3 ans,Non,3,Oui,1,2,4,Non,Non,Oui
12/06/2023 12:55:04,Dentiste,1 à 3 ans,Non,3,Oui,3,3,4,,Non,Oui
12/06/2023 13:14:48,Dentiste ,4 à 6 ans,Non,4,Oui,1,2,5,"J’ai voulu utiliser CHATGPT pour m’aider à écrire un paragraphe de revue, et il a répondu avec bcp d’erreurs",Non,Oui
13/06/2023 15:48:30,Kinésithérapeute,1 à 3 ans,Non,3,Oui,3,4,5,Nop,Non,Oui
13/06/2023 18:42:41,Kinésithérapeute ,Plus de 10 ans,Non,4,Non,3,2,5,,Non,Oui
14/06/2023 00:13:20,Kine ,Plus de 10 ans,Non,2,Oui,2,1,5,Non,Non,Oui
14/06/2023 07:39:24,Masseur kinésithérapeute ,Plus de 10 ans,Non,3,Préfère ne pas répondre,2,3,4,,Non,Oui
14/06/2023 21:08:11,Formateur et medical reviewer,Plus de 10 ans,Non,3,Oui,3,4,5,Non,Non,Oui
16/06/2023 00:38:03,Pharmacie dans les affaires médicales ,1 à 3 ans,Non,3,Non,2,3,5,"Je pense que l’IA a des compétences complémentaires aux pro santé et donc les deux ensembles font que les diagnostics vont plus vites et la prise en charge bientôt 
Il est même question de créer des bras placebo dans les études cliniques grâce à l’IA ce qui serait bien plus éthique à mon sens ",Non,Oui
19/06/2023 12:06:38,Dentiste,1 à 3 ans,Oui,4,Non,2,3,5,,Non,Oui
19/06/2023 12:08:24,Dentiste,4 à 6 ans,Oui,4,Oui,2,4,5,,Non,Oui
19/06/2023 12:58:45,Medecin,1 à 3 ans,Oui,3,Non,3,4,2,,Oui,Oui
19/06/2023 13:03:52,Ingénieur biomédical ,1 à 3 ans,Oui,4,Non,3,4,5,"IA sans apprentissage automatique mais par base de données entrainé et alimenté régulièrement (préalablement vérifié par des experts scientifiques)
Exemple : Radiologie, Diagnostics ECG…",Préfère ne pas répondre,Préfère ne pas répondre
19/06/2023 14:02:24,Dentiste,1 à 3 ans,Non,3,Oui,3,3,4,,Non,Oui
19/06/2023 14:04:18,Médecin,Plus de 10 ans,Oui,2,Oui,2,2,2,,Non,Oui
19/06/2023 14:07:44,Chirurgienne-dentiste ,4 à 6 ans,Oui,5,Non,3,4,4,,Non,Oui
19/06/2023 14:28:01,Pharmacien ,1 à 3 ans,Non,4,Non,4,4,4,,Non,Oui
19/06/2023 15:04:42,Dentiste,1 à 3 ans,Oui,4,Oui,2,2,5,"Nous avons testé une IA pour trouver des réponses à nos questions quant à un cours de dentisterie. 
En comparant les résultats obtenus grâce à l’IA et les données fournies par la littérature, nous avons constaté que les IA ne sont pas toujours fiables à 100%, car elles ne prennent pas forcément en compte toute la situation (l’historique du patient pas exemple), ou le système d’analyse et de réflexion n’est pas assez flexible, voire, trop arbitraire.",Non,Oui
19/06/2023 15:51:56,Dentiste,1 à 3 ans,Non,4,Oui,5,3,5,,Non,Oui
19/06/2023 15:53:17,Marketing pharmaceutique,4 à 6 ans,Oui,4,Oui,5,4,4,,Non,Oui
19/06/2023 15:55:31,Marketing pharmaceutique,7 à 10 ans,Oui,5,Oui,5,5,5,,Non,Oui
19/06/2023 15:56:34,Marketing pharmaceutique,4 à 6 ans,Non,4,Oui,4,5,5,,Non,Oui
19/06/2023 15:57:23,Marketing pharmaceutique,1 à 3 ans,Oui,5,Oui,5,5,5,,Non,Oui
19/06/2023 15:58:05,Markrting pharmaceutique,4 à 6 ans,Oui,4,Oui,4,4,4,,Non,Oui
19/06/2023 15:58:51,Kine,4 à 6 ans,Non,5,Non,5,5,5,,Non,Oui
19/06/2023 15:59:38,Marketing pharma,4 à 6 ans,Non,4,Oui,3,3,5,,Non,Oui
19/06/2023 16:00:12,Kine,4 à 6 ans,Non,4,Oui,4,4,4,,Non,Oui
19/06/2023 16:01:04,Marketing pharma,4 à 6 ans,Oui,4,Non,5,4,4,,Non,Oui
19/06/2023 16:02:08,Kine,4 à 6 ans,Non,4,Oui,4,4,5,,Non,Oui
19/06/2023 16:02:58,Marketing pharma,1 à 3 ans,Non,4,Oui,5,4,5,,Non,Oui
19/06/2023 16:03:45,Marketing pharmaceutique,1 à 3 ans,Non,4,Oui,5,4,5,,Non,Oui
19/06/2023 16:11:31,Chef de produit,Moins d'un an,Oui,4,Non,4,4,5,,Non,Oui
19/06/2023 16:15:32,Medical advisor ,Moins d'un an,Non,3,Oui,2,3,5,,Non,Oui
19/06/2023 16:15:42,Chirurgien ,Plus de 10 ans,Non,3,Oui,2,4,4,,Non,Oui
19/06/2023 16:18:45,Pharmacien,1 à 3 ans,Non,3,Oui,2,3,5,Non,Non,Oui
19/06/2023 16:31:47,chef de produit pharmaceutique ,1 à 3 ans,Oui,3,Oui,2,4,3,,Non,Oui
19/06/2023 19:13:33,Pharmacien,Plus de 10 ans,Non,4,Non,1,2,5,Non,Non,Oui
19/06/2023 19:16:56,Psychomotricienne D.E (rééducation),4 à 6 ans,Non,3,Non,4,1,4,,Non,Oui
20/06/2023 09:43:18,Infirmière libérale ,7 à 10 ans,Non,4,Non,3,2,5,"Je n’ai pas d’exemple, concernant l’apprentissage je suis pour l’IA mais concernant la prise de décision concernant des patients je ne pense pas que cela soit adapté (pour le moment) ",Non,Non
21/06/2023 07:50:44,Pharmacien d’industrie,Moins d'un an,Non,4,Oui,2,4,5,,Non,Oui
21/06/2023 14:21:18,Chirurgien dentiste ,Plus de 10 ans,Oui,5,Non,5,5,5,,Non,Oui
22/06/2023 00:22:06,Chirurgie dentaire,Plus de 10 ans,Oui,3,Oui,3,3,5,,Non,Oui
22/06/2023 10:01:40,Chirurgie dentaire,Plus de 10 ans,Non,3,Oui,3,3,4,,Non,Oui
22/06/2023 10:05:49,Chirurgien dentaire,Plus de 10 ans,Oui,3,Oui,3,3,4,,Non,Oui
22/06/2023 10:06:48,assistant dentaire,4 à 6 ans,Non,5,Oui,3,3,4,,Non,Oui
22/06/2023 10:08:54,Kine,1 à 3 ans,Non,4,Oui,5,5,5,,Oui,Non
22/06/2023 10:17:53,Médecin,4 à 6 ans,Oui,3,Oui,4,4,4,,Non,Oui
22/06/2023 10:18:58,Médecin,1 à 3 ans,Non,4,Oui,2,2,4,,Non,Non
22/06/2023 10:27:37,Dentiste,1 à 3 ans,Non,3,Oui,3,4,5,,Non,Oui
22/06/2023 10:33:30,Pharmacien,1 à 3 ans,Non,4,Oui,4,4,5,,Non,Oui
22/06/2023 10:36:04,Dentiste,1 à 3 ans,Non,4,Oui,4,5,5,,Non,Oui
22/06/2023 10:37:19,Kine,1 à 3 ans,Non,4,Oui,4,4,5,,Non,Oui
22/06/2023 10:40:24,Kinésithérapeute ,1 à 3 ans,Non,4,Oui,4,4,5,,Non,Oui
22/06/2023 10:41:05,Kinésithérapeute,1 à 3 ans,Non,5,Non,3,3,5,,Non,Oui
22/06/2023 10:42:16,Kinésithérapeute,1 à 3 ans,Non,4,Non,4,4,5,,Non,Oui
22/06/2023 10:46:06,Dentiste ,1 à 3 ans,Oui,5,Oui,4,4,5,,Non,Oui
22/06/2023 16:15:30,Doctor,Plus de 10 ans,Non,,Oui,,1,5,,Non,Oui
23/06/2023 08:52:03,Dentist,Moins d'un an,Oui,4,Oui,3,4,5,,Non,Oui
23/06/2023 10:27:49,Dentist,1 à 3 ans,Oui,4,Oui,1,4,5,Oui ,Non,Oui
27/06/2023 13:20:31,Radiologist,Plus de 10 ans,Oui,4,Oui,3,3,5,Non,Non,Oui
29/06/2023 22:43:47,Pharmacist,Plus de 10 ans,Oui,4,Non,4,4,4,Oui,Non,Oui
29/06/2023 22:56:33,Pharmacist,Plus de 10 ans,Non,4,Non,4,5,5,Non,Non,Oui
29/06/2023 22:57:48,Pharmacist,Plus de 10 ans,Non,4,Non,1,2,5,Non,Non,Oui
29/06/2023 23:05:59,Pharmacist,Moins d'un an,Non,3,Non,3,4,5,Non,Non,Oui
30/06/2023 07:26:00,Pharmacist,Plus de 10 ans,Non,3,Oui,3,3,4,Non ,Non,Oui
30/06/2023 08:07:20,Médecin ,7 à 10 ans,Oui,3,Oui,1,3,5,,Non,Oui
30/06/2023 08:18:50,Physiotherapist,Plus de 10 ans,Non,3,Oui,,3,3,Non,Non,Oui
30/06/2023 08:49:30,Doctor,Plus de 10 ans,Non,2,Non,2,5,5,Non,Non,Oui
30/06/2023 12:17:31,Pharmacist,Plus de 10 ans,Oui,4,Oui,1,3,5,"Positives : proposition de renouvellement automatique d’ordonnance, contrôle d’ordonnance, ",Non,Oui
30/06/2023 12:59:04,Pharmacist,Plus de 10 ans,Préfère ne pas répondre,3,Oui,2,2,3,,Non,Préfère ne pas répondre
01/07/2023 10:24:25,Pharmacist,Plus de 10 ans,Non,3,Non,4,3,5,Non,Non,Oui
01/07/2023 12:52:28,Pharmacist,7 à 10 ans,Non,3,Oui,3,3,5,Oui application pour l’aide à la décision dans les maladies rares RDK ,Non,Oui